"Cell" "sample" "Size_Factor" "n.umi" "hash_umis" "pval" "qval" "top_to_second_best_ratio" "top_oligo"
"A01_A01_RT_637" "A01_A01_RT_637" "sciChem18" 1.00235634792114 4048 29 0 0 31.2647058823529 "BMS_0.5_AG06"
"A01_A01_RT_660" "A01_A01_RT_660" "sciChem18" 0.543273178690462 2194 38 0 0 9.20603015075377 "Dex_10_AC11"
"A01_A01_RT_661" "A01_A01_RT_661" "sciChem18" 0.442245167338726 1786 8 8.06770930661078e-34 1.53286476825605e-32 Inf "Dex_5_BC12"
"A01_A01_RT_667" "A01_A01_RT_667" "sciChem18" 0.801538413592081 3237 4 6.15982949248746e-35 1.29356419342237e-33 2 "BMS_0_BH12"
"A01_A01_RT_670" "A01_A01_RT_670" "sciChem18" 0.704719902713334 2846 4 8.23535378090899e-54 1.97648490741816e-52 2.01015228426396 "SAHA_0.5_BF10"
"A01_A01_RT_671" "A01_A01_RT_671" "sciChem18" 0.445216579437307 1798 9 6.15982949248746e-35 1.29356419342237e-33 7 "Nutlin_1_AA05"
"A01_A01_RT_674" "A01_A01_RT_674" "sciChem18" 0.515292381428829 2081 189 0 0 10.5656407035176 "Nutlin_50_AA10"
"A01_A01_RT_685" "A01_A01_RT_685" "sciChem18" 0.662624897983444 2676 49 0 0 46.5075376884422 "BMS_0.1_BH11"
"A01_A01_RT_688" "A01_A01_RT_688" "sciChem18" 0.585615801095234 2365 24 3.95252516672997e-323 1.58101006669199e-321 17.8190954773869 "Nutlin_10_AA11"
"A01_A01_RT_694" "A01_A01_RT_694" "sciChem18" 1.00210873024626 4047 9 0.999999995688811 1 5 "Nutlin_0.1_BA07"
"A01_A01_RT_698" "A01_A01_RT_698" "sciChem18" 1.35174488717923 5459 46 0 0 2.8667672197084 "Dex_50_BD06"
"A01_A01_RT_699" "A01_A01_RT_699" "sciChem18" 0.654205897037466 2642 22 4.51290682643517e-17 5.86677887436572e-16 19.6489361702128 "Dex_0_BD12"
"A01_A01_RT_707" "A01_A01_RT_707" "sciChem18" 0.577692035499019 2333 23 0 0 21.8844221105528 "Dex_100_AC09"
"A01_A01_RT_708" "A01_A01_RT_708" "sciChem18" 0.345674274134861 1396 17 0 0 Inf "BMS_1_AG05"
"A01_A01_RT_713" "A01_A01_RT_713" "sciChem18" 1.05361320662166 4255 15 0 0 11.9623115577889 "BMS_0.1_BG07"
"A01_A01_RT_721" "A01_A01_RT_721" "sciChem18" 1.44088725013665 5819 45 0 0 3.50530429927415 "Dex_50_AC02"
"A01_A01_RT_728" "A01_A01_RT_728" "sciChem18" 1.11650809604161 4509 45 0 0 2.57391122278057 "Dex_50_AC10"
"A01_A01_RT_734" "A01_A01_RT_734" "sciChem18" 0.825309710380725 3333 18 0 0 14.9547738693467 "Nutlin_0.1_BB11"
"A01_A01_RT_736" "A01_A01_RT_736" "sciChem18" 1.92448456918062 7772 121 0 0 2.32444478598325 "SAHA_50_AE02"
"A01_A01_RT_737" "A01_A01_RT_737" "sciChem18" 0.57199682897674 2310 49 0 0 Inf "Dex_100_BC09"
"A01_A01_RT_739" "A01_A01_RT_739" "sciChem18" 0.603196656011835 2436 77 0 0 72.0653266331658 "Nutlin_10_AA03"
"A01_A01_RT_740" "A01_A01_RT_740" "sciChem18" 0.607901391834587 2455 27 2.69453254363174e-283 1.02392236658006e-281 25.3827493261456 "Nutlin_1_AB01"
"A01_A01_RT_744" "A01_A01_RT_744" "sciChem18" 0.607901391834587 2455 21 3.87244745692378e-17 5.42142643969329e-16 15 "Dex_0.1_AD03"
"A01_A01_RT_748" "A01_A01_RT_748" "sciChem18" 1.463172840876 5909 9 6.412441904271e-268 2.18023024745214e-266 6.26052631578947 "SAHA_0.5_BE06"
"A01_A01_RT_750" "A01_A01_RT_750" "sciChem18" 0.799309854518146 3228 42 1.55032876398435e-238 5.11608492114836e-237 1.84231378763867 "Dex_10_AC03"
"A01_A01_RT_753" "A01_A01_RT_753" "sciChem18" 1.28612620333558 5194 25 0 0 13.8976510067114 "Nutlin_5_BA04"
"A01_A01_RT_760" "A01_A01_RT_760" "sciChem18" 0.642072630968263 2593 13 0 0 12.7688172043011 "Dex_50_BC10"
"A01_A01_RT_762" "A01_A01_RT_762" "sciChem18" 0.84635721274567 3418 34 0 0 31.6582914572864 "Dex_50_AC02"
"A01_A01_RT_763" "A01_A01_RT_763" "sciChem18" 0.73889114184701 2984 42 0 0 37.3668341708543 "Nutlin_0.1_AA07"
"A01_A01_RT_764" "A01_A01_RT_764" "sciChem18" 0.682434311973981 2756 49 0 0 21.6306532663317 "Dex_10_AC03"
"A01_A01_RT_767" "A01_A01_RT_767" "sciChem18" 0.658415397510455 2659 25 0 0 1 NA
"A01_B02_RT_387" "A01_B02_RT_387" "sciChem18" 0.923118691958999 3728 30 0 0 24.4753521126761 "Dex_0.1_AD11"
"A01_B02_RT_388" "A01_B02_RT_388" "sciChem18" 1.29677376335549 5237 10 2.96662788509402e-48 6.82324413571623e-47 5.90566037735849 "Nutlin_5_AB08"
"A01_B02_RT_390" "A01_B02_RT_390" "sciChem18" 2.91495526870744 11772 91 0 0 25.1252144082333 "SAHA_0.1_BF03"
"A01_B02_RT_396" "A01_B02_RT_396" "sciChem18" 1.53993432008933 6219 55 1.63155879451977e-15 2.61049407123162e-14 43 "BMS_0_AG08"
"A01_B02_RT_397" "A01_B02_RT_397" "sciChem18" 0.393216867712149 1588 8 2.35023045800145e-54 5.87557614500363e-53 2 "Dex_100_BC01"
"A01_B02_RT_399" "A01_B02_RT_399" "sciChem18" 1.30222135220289 5259 186 0 0 3.66655908525059 "Dex_100_AC01"
"A01_B02_RT_400" "A01_B02_RT_400" "sciChem18" 3.42009532546612 13812 222 0 0 210.857632933105 "SAHA_100_AE01"
"A01_B02_RT_401" "A01_B02_RT_401" "sciChem18" 0.269903265621059 1090 12 0 0 9.37567084078712 "BMS_5_BG04"
"A01_B02_RT_402" "A01_B02_RT_402" "sciChem18" 1.97301763345743 7968 81 0 0 38.2417424605074 "BMS_0.1_AH11"
"A01_B02_RT_405" "A01_B02_RT_405" "sciChem18" 0.9610041962159 3881 111 0 0 102.952830188679 "Nutlin_5_AB08"
"A01_B02_RT_421" "A01_B02_RT_421" "sciChem18" 1.10115580019894 4447 29 0 0 17.9005145797599 "Nutlin_50_BA02"
"A01_B02_RT_423" "A01_B02_RT_423" "sciChem18" 2.32141570201599 9375 143 0 0 30.1580188679245 "BMS_0_AH12"
"A01_B02_RT_424" "A01_B02_RT_424" "sciChem18" 2.99765957211793 12106 134 0 0 127.85077186964 "Nutlin_0_BA08"
"A01_B02_RT_428" "A01_B02_RT_428" "sciChem18" 1.26483108329575 5108 54 0 0 45.8610634648371 "BMS_0.1_BG07"
"A01_B02_RT_431" "A01_B02_RT_431" "sciChem18" 1.38987800911101 5613 112 0 0 82.8537604456825 "BMS_0_BH12"
"A01_B02_RT_432" "A01_B02_RT_432" "sciChem18" 0.283522237739553 1145 8 0.994015108258457 1 1.01431127012522 "Dex_0_BC08"
"A01_B02_RT_439" "A01_B02_RT_439" "sciChem18" 3.4933901572311 14108 218 0 0 6.15480255105328 "BMS_5_AG12"
"A01_B02_RT_447" "A01_B02_RT_447" "sciChem18" 2.23846378093062 9040 211 4.61932188957868e-246 1.43198978576939e-244 11.7352622522465 "Dex_100_AD05"
"A01_B02_RT_450" "A01_B02_RT_450" "sciChem18" 0.381578836992708 1541 136 0 0 138.920388349515 "Nutlin_5_AB08"
"A01_B02_RT_452" "A01_B02_RT_452" "sciChem18" 0.691843783619486 2794 48 0 0 44.4168157423971 "Dex_0_BD12"
"A01_B02_RT_455" "A01_B02_RT_455" "sciChem18" 0.314722064774648 1271 5 0.0140266671211551 0.0841600027269307 1.0043630017452 "SAHA_1_AF01"
"A01_B02_RT_462" "A01_B02_RT_462" "sciChem18" 0.310017328951895 1252 84 0 0 84.3567467652495 "Dex_100_AC01"
"A01_B02_RT_463" "A01_B02_RT_463" "sciChem18" 3.39137167517984 13696 285 0 0 361.079455164586 "SAHA_100_BE01"
"A01_B02_RT_464" "A01_B02_RT_464" "sciChem18" 0.293922180084585 1187 4 1.98045485103022e-07 2.57459130633928e-06 1.00695652173913 "Dex_10_BC11"
"A01_B02_RT_467" "A01_B02_RT_467" "sciChem18" 0.307045916853315 1240 3 2.13231686672528e-39 4.47786542012309e-38 1.00779896013865 "BMS_5_BG12"
"A01_B02_RT_468" "A01_B02_RT_468" "sciChem18" 2.16194991939217 8731 149 0 0 2.28427388011637 "Dex_50_AD06"
"A01_B02_RT_469" "A01_B02_RT_469" "sciChem18" 2.34791079322833 9482 77 0 0 3.22804801010739 "SAHA_0.1_AF03"
"A01_B02_RT_476" "A01_B02_RT_476" "sciChem18" 1.08109876853353 4366 27 0 0 10.3358507330076 "Dex_10_BC11"
"A01_B02_RT_479" "A01_B02_RT_479" "sciChem18" 1.02365146796097 4134 19 6.04383353261424e-133 1.75271172445813e-131 13.8044596912521 "Dex_5_AC04"
"A01_B02_RT_481" "A01_B02_RT_481" "sciChem18" 0.797081295444211 3219 201 0 0 190.27615780446 "BMS_0_BG08"
"A01_B02_RT_484" "A01_B02_RT_484" "sciChem18" 8.27216366477314 33407 659 0 0 2.48090425307515 "SAHA_5_AE04"
"A01_B02_RT_487" "A01_B02_RT_487" "sciChem18" 1.11056527184445 4485 18 1.03607190379634e-283 3.3154300921483e-282 7.52695167286245 "Dex_50_AC10"
"A01_B02_RT_488" "A01_B02_RT_488" "sciChem18" 1.43865869106271 5810 100 0 0 50.6275797373358 "Dex_10_AD07"
"A01_B02_RT_496" "A01_B02_RT_496" "sciChem18" 1.06574647269086 4304 37 1.51600773815038e-14 2.27401160722557e-13 26 "Dex_10_BC03"
"A01_B02_RT_497" "A01_B02_RT_497" "sciChem18" 0.390245455613568 1576 1 0.407510500998418 1 Inf "BMS_0.1_AH11"
"A01_B02_RT_499" "A01_B02_RT_499" "sciChem18" 4.08792019462208 16509 218 0 0 1.56254141815772 "SAHA_0_AE08"
"A01_B02_RT_500" "A01_B02_RT_500" "sciChem18" 1.98861754697498 8031 293 0 0 1.57249699398798 "SAHA_50_AE10"
"A01_B02_RT_501" "A01_B02_RT_501" "sciChem18" 2.4038723877516 9708 175 0 0 1.99159179359054 "SAHA_0_AF04"
"A01_B02_RT_502" "A01_B02_RT_502" "sciChem18" 0.368455100223978 1488 1 1.53944393451394e-20 2.92494347557649e-19 Inf "BMS_0_AH12"
"A01_B02_RT_503" "A01_B02_RT_503" "sciChem18" 0.343445715060926 1387 4 0.00216302360634051 0.0151411652443836 1.01401050788091 "Dex_0.5_BD10"
"A01_B02_RT_509" "A01_B02_RT_509" "sciChem18" 1.12566995001223 4546 32 0 0 17.9725557461407 "Dex_1_BD09"
"A01_B02_RT_510" "A01_B02_RT_510" "sciChem18" 0.404359663081825 1633 271 0 0 2.75277489626556 "SAHA_100_BE09"
"A01_B02_RT_514" "A01_B02_RT_514" "sciChem18" 2.81417487503058 11365 17 1.68660988456479e-28 3.37321976912959e-27 5 "Dex_10_BD07"
"A01_B02_RT_516" "A01_B02_RT_516" "sciChem18" 2.28377781543397 9223 196 0 0 124.686926605505 "Dex_50_BC10"
"A01_B02_RT_523" "A01_B02_RT_523" "sciChem18" 0.494740114413648 1998 144 0 0 274.725423728814 "BMS_0.1_AH03"
"A01_B02_RT_528" "A01_B02_RT_528" "sciChem18" 1.97772236928018 7987 49 0 0 4.73356820433777 "Dex_0.5_AD02"
"A01_B02_RT_535" "A01_B02_RT_535" "sciChem18" 3.46119985949648 13978 152 0 0 84.3400852878465 "SAHA_0_BF04"
"A01_B02_RT_536" "A01_B02_RT_536" "sciChem18" 2.66907091754991 10779 179 0 0 196.379939209726 "Nutlin_0_AB04"
"A01_B02_RT_538" "A01_B02_RT_538" "sciChem18" 1.99307466512285 8049 121 0 0 110.962264150943 "SAHA_0_BF04"
"A01_B02_RT_542" "A01_B02_RT_542" "sciChem18" 2.52817646054221 10210 48 0 0 52.3285420944559 "SAHA_50_AE10"
"A01_B02_RT_543" "A01_B02_RT_543" "sciChem18" 1.73703798929517 7015 240 0 0 387.084548104956 "Nutlin_1_AB09"
"A01_B02_RT_546" "A01_B02_RT_546" "sciChem18" 1.56940082340025 6338 159 0 0 12.0078431372549 "BMS_1_BH09"
"A01_B02_RT_548" "A01_B02_RT_548" "sciChem18" 1.58871500204102 6416 24 0 0 12.9382504288165 "BMS_0_AH12"
"A01_B02_RT_549" "A01_B02_RT_549" "sciChem18" 0.853042889967476 3445 104 0 0 94.4648370497427 "Dex_0.1_AD11"
"A01_B02_RT_551" "A01_B02_RT_551" "sciChem18" 1.25814540607395 5081 43 0 0 31.852487135506 "Nutlin_1_BB01"
"A01_B02_RT_554" "A01_B02_RT_554" "sciChem18" 1.2195170487924 4925 76 0 0 63.4133790737564 "Nutlin_10_AA11"
"A01_B02_RT_560" "A01_B02_RT_560" "sciChem18" 2.25109228234959 9091 158 0 0 72.9696412143514 "BMS_0.1_AH11"
"A01_B02_RT_570" "A01_B02_RT_570" "sciChem18" 1.09669868205107 4429 59 0 0 60.0238549618321 "Nutlin_0.1_AB11"
"A01_B02_RT_571" "A01_B02_RT_571" "sciChem18" 1.34604968065695 5436 69 0 0 58.7041166380789 "Dex_0.5_AC06"
"A01_B02_RT_572" "A01_B02_RT_572" "sciChem18" 0.446702285486597 1804 7 1.33802303138545e-07 1.87323224393963e-06 1.02475685234306 "Nutlin_0.1_BB03"
"A01_B02_RT_579" "A01_B02_RT_579" "sciChem18" 0.902318807268935 3644 75 0 0 64.2281303602058 "SAHA_0.1_AF03"
"A01_B02_RT_580" "A01_B02_RT_580" "sciChem18" 0.349636156932968 1412 368 0 0 2.2840277916028 "SAHA_50_AE10"
"A01_B02_RT_583" "A01_B02_RT_583" "sciChem18" 1.27572626099055 5152 250 0 0 1.93288392573426 "Dex_50_BD06"
"A01_B02_RT_584" "A01_B02_RT_584" "sciChem18" 1.30766894105029 5281 153 0 0 10.9972965073798 "Dex_1_AD09"
"A01_B02_RT_592" "A01_B02_RT_592" "sciChem18" 1.47010613577269 5937 90 0 0 29.2291149710505 "SAHA_1_AF09"
"A01_B02_RT_599" "A01_B02_RT_599" "sciChem18" 2.55021443360669 10299 198 0 0 5.72720994475138 "Nutlin_10_BA11"
"A01_B02_RT_604" "A01_B02_RT_604" "sciChem18" 0.410054869604105 1656 7 5.11120763971541e-20 9.20017375148773e-19 1.00607638888889 "Nutlin_1_AB01"
"A01_B02_RT_606" "A01_B02_RT_606" "sciChem18" 0.921632985909708 3722 87 0 0 86.7247451343837 "Dex_100_AC01"
"A01_B02_RT_612" "A01_B02_RT_612" "sciChem18" 0.476911641822165 1926 122 0 0 115.639794168096 "SAHA_100_BE01"
"A01_B02_RT_617" "A01_B02_RT_617" "sciChem18" 0.374645542096021 1513 2 2.82627943628847e-06 3.39153532354616e-05 1.01045296167247 "Nutlin_50_BB06"
"A01_B02_RT_619" "A01_B02_RT_619" "sciChem18" 0.393959720736794 1591 1 1 1 Inf "Dex_100_AD05"
"A01_B02_RT_622" "A01_B02_RT_622" "sciChem18" 1.18212677988526 4774 51 0 0 46.7381165919283 "Nutlin_5_AA12"
"A01_B02_RT_623" "A01_B02_RT_623" "sciChem18" 2.01585549121197 8141 178 0 0 196.906882591093 "Nutlin_0_BB04"
"A01_B02_RT_625" "A01_B02_RT_625" "sciChem18" 2.33354896808519 9424 201 0 0 1.17634787210225 "Dex_0_AD04"
"A01_B02_RT_627" "A01_B02_RT_627" "sciChem18" 1.89155141842135 7639 117 0 0 4.51058394160584 "Dex_5_AC04"
"A01_B02_RT_628" "A01_B02_RT_628" "sciChem18" 1.62635288862304 6568 109 0 0 94.4391080617496 "Nutlin_1_AA05"
"A01_B02_RT_629" "A01_B02_RT_629" "sciChem18" 1.68800968966859 6817 65 0 0 29.3048885077187 "Nutlin_5_AA12"
"A01_B02_RT_630" "A01_B02_RT_630" "sciChem18" 3.94578764923998 15935 160 0 0 5.78713411054265 "SAHA_0.1_AF03"
"A01_B02_RT_635" "A01_B02_RT_635" "sciChem18" 0.377369336519719 1524 5 0.000614315292532314 0.00491452234025852 1.0043630017452 "SAHA_0.5_AF10"
"A01_B02_RT_636" "A01_B02_RT_636" "sciChem18" 2.08147417505562 8406 174 0 0 3.75248212867355 "Nutlin_10_AA11"
"A01_B02_RT_638" "A01_B02_RT_638" "sciChem18" 1.2304122264872 4969 27 0 0 20.9469424460432 "SAHA_5_BE04"
"A01_B02_RT_639" "A01_B02_RT_639" "sciChem18" 1.59886732671117 6457 115 0 0 9.62109777015437 "Dex_50_AC02"
"A01_B02_RT_658" "A01_B02_RT_658" "sciChem18" 2.64604247378591 10686 280 0 0 3.71376276608835 "Nutlin_50_AA10"
"A01_B02_RT_660" "A01_B02_RT_660" "sciChem18" 0.446454667811715 1803 47 0 0 19.798249452954 "SAHA_0.5_AE06"
"A01_B02_RT_661" "A01_B02_RT_661" "sciChem18" 2.25604463584722 9111 180 0 0 191.620689655172 "SAHA_50_AF06"
"A01_B02_RT_666" "A01_B02_RT_666" "sciChem18" 2.38034870863784 9613 146 0 0 8.75946694814619 "SAHA_0_AF04"
